filename,width,height,class,xmin,ymin,xmax,ymax
0.jpg,800,600,2h,77,8,100,65
0.jpg,800,600,2h,200,9,222,62
0.jpg,800,600,2h,78,181,100,238
0.jpg,800,600,2h,199,180,221,238
0.jpg,800,600,2d,273,2,296,59
0.jpg,800,600,2d,395,3,419,60
0.jpg,800,600,2d,271,176,296,232
0.jpg,800,600,2d,395,174,417,232
0.jpg,800,600,2c,459,7,485,64
0.jpg,800,600,2c,583,7,606,68
0.jpg,800,600,2c,458,179,482,238
0.jpg,800,600,2c,580,179,606,239
0.jpg,800,600,2s,642,8,666,68
0.jpg,800,600,2s,764,8,787,65
0.jpg,800,600,2s,644,180,670,240
0.jpg,800,600,2s,767,177,789,236
0.jpg,800,600,3s,81,309,107,368
0.jpg,800,600,3s,202,307,227,368
0.jpg,800,600,3s,84,482,109,540
0.jpg,800,600,3s,203,478,229,539
0.jpg,800,600,3c,263,306,291,364
0.jpg,800,600,3c,388,305,412,361
0.jpg,800,600,3c,269,480,293,538
0.jpg,800,600,3c,389,476,413,534
0.jpg,800,600,3d,465,305,494,363
0.jpg,800,600,3d,587,303,612,363
0.jpg,800,600,3d,469,479,494,538
0.jpg,800,600,3d,593,476,615,537
0.jpg,800,600,3h,648,299,675,351
0.jpg,800,600,3h,767,295,795,352
0.jpg,800,600,3h,648,473,675,531
0.jpg,800,600,3h,770,472,794,529
1.jpg,800,600,4h,38,45,60,101
1.jpg,800,600,4h,161,39,184,93
1.jpg,800,600,4h,47,218,71,276
1.jpg,800,600,4h,170,213,194,268
1.jpg,800,600,4s,247,45,271,105
1.jpg,800,600,4s,370,39,392,100
1.jpg,800,600,4s,254,215,276,277
1.jpg,800,600,4s,376,209,399,269
1.jpg,800,600,4d,444,41,467,97
1.jpg,800,600,4d,567,39,589,100
1.jpg,800,600,4d,446,209,468,273
1.jpg,800,600,4d,568,211,592,269
1.jpg,800,600,4c,643,44,664,107
1.jpg,800,600,4c,764,48,787,105
1.jpg,800,600,4c,641,219,663,280
1.jpg,800,600,4c,762,219,786,279
1.jpg,800,600,5d,25,342,46,401
1.jpg,800,600,5d,146,334,170,397
1.jpg,800,600,5d,33,514,56,571
1.jpg,800,600,5d,157,509,179,566
1.jpg,800,600,5s,233,334,255,392
1.jpg,800,600,5s,355,326,378,384
1.jpg,800,600,5s,243,505,266,563
1.jpg,800,600,5s,366,497,388,556
1.jpg,800,600,5h,436,329,457,387
1.jpg,800,600,5h,557,322,581,379
1.jpg,800,600,5h,444,504,467,560
1.jpg,800,600,5h,568,499,590,553
1.jpg,800,600,5c,630,334,651,392
1.jpg,800,600,5c,751,333,776,392
1.jpg,800,600,5c,631,505,654,563
1.jpg,800,600,5c,754,506,775,563
2.jpg,800,600,6c,17,32,41,92
2.jpg,800,600,6c,140,32,163,92
2.jpg,800,600,6c,20,207,41,266
2.jpg,800,600,6c,141,205,164,264
2.jpg,800,600,6h,207,40,229,92
2.jpg,800,600,6h,329,37,353,95
2.jpg,800,600,6h,207,212,229,269
2.jpg,800,600,6h,330,211,352,268
2.jpg,800,600,6s,412,41,433,101
2.jpg,800,600,6s,535,37,558,98
2.jpg,800,600,6s,415,213,439,272
2.jpg,800,600,6s,538,209,562,269
2.jpg,800,600,6d,612,37,633,91
2.jpg,800,600,6d,734,32,758,90
2.jpg,800,600,6d,618,209,638,267
2.jpg,800,600,6d,740,202,762,263
2.jpg,800,600,7s,22,331,47,393
2.jpg,800,600,7s,146,330,169,387
2.jpg,800,600,7s,31,505,54,564
2.jpg,800,600,7s,152,498,176,559
2.jpg,800,600,7h,220,335,240,389
2.jpg,800,600,7h,342,330,362,387
2.jpg,800,600,7h,224,510,247,566
2.jpg,800,600,7h,347,506,370,561
2.jpg,800,600,7d,415,332,439,391
2.jpg,800,600,7d,539,330,564,389
2.jpg,800,600,7d,423,507,444,565
2.jpg,800,600,7d,545,501,567,559
2.jpg,800,600,7c,612,340,633,398
2.jpg,800,600,7c,734,338,755,398
2.jpg,800,600,7c,615,511,638,570
2.jpg,800,600,7c,738,508,763,568
3.jpg,800,600,8s,30,35,51,93
3.jpg,800,600,8s,153,29,175,90
3.jpg,800,600,8s,36,205,57,264
3.jpg,800,600,8s,159,202,180,262
3.jpg,800,600,8c,232,35,253,92
3.jpg,800,600,8c,354,36,375,95
3.jpg,800,600,8c,227,207,249,265
3.jpg,800,600,8c,349,209,372,268
3.jpg,800,600,8d,422,34,441,92
3.jpg,800,600,8d,543,33,567,89
3.jpg,800,600,8d,422,205,444,265
3.jpg,800,600,8d,544,208,567,264
3.jpg,800,600,8h,614,35,638,90
3.jpg,800,600,8h,737,43,759,98
